# phi,psi,free_energy_kJ_per_mol
-4.363323129985823279e-01,-1.483529864195180181e+00,3.024288113127601108e+01
-2.617993877991495744e-01,-1.483529864195180181e+00,3.137616910721891728e+01
-8.726646259971659880e-02,-1.483529864195180181e+00,3.172851667136564302e+01
8.726646259971637676e-02,-1.483529864195180181e+00,3.094131324762448187e+01
2.617993877991493523e-01,-1.483529864195180181e+00,2.938552263603565606e+01
4.363323129985823279e-01,-1.483529864195180181e+00,2.710669953028209633e+01
6.108652381980153034e-01,-1.483529864195180181e+00,2.396351673303353635e+01
7.853981633974482790e-01,-1.483529864195180181e+00,2.080348286893300980e+01
9.599310885968810325e-01,-1.483529864195180181e+00,1.890942256406004063e+01
1.134464013796313786e+00,-1.483529864195180181e+00,1.995284696944546710e+01
1.308996938995746984e+00,-1.483529864195180181e+00,2.463760961134869731e+01
1.483529864195180181e+00,-1.483529864195180181e+00,3.277263794112047179e+01
1.658062789394612935e+00,-1.483529864195180181e+00,4.312607741132177352e+01
1.832595714594045688e+00,-1.483529864195180181e+00,5.308520776878171432e+01
2.007128639793478886e+00,-1.483529864195180181e+00,6.201975731769829281e+01
2.181661564992912083e+00,-1.483529864195180181e+00,6.742263055652882997e+01
2.356194490192344837e+00,-1.483529864195180181e+00,6.827953930916879699e+01
2.530727415391777591e+00,-1.483529864195180181e+00,6.465114127242568998e+01
2.705260340591210344e+00,-1.483529864195180181e+00,5.789913831416309620e+01
2.879793265790643542e+00,-1.483529864195180181e+00,4.877752568849138015e+01
3.054326190990076739e+00,-1.483529864195180181e+00,3.962332686483728139e+01
-3.054326190990076739e+00,-1.308996938995746984e+00,2.870862301204800104e+01
-2.879793265790643986e+00,-1.308996938995746984e+00,2.235740742877944598e+01
-2.705260340591210788e+00,-1.308996938995746984e+00,1.857739668965097479e+01
-2.530727415391777591e+00,-1.308996938995746984e+00,1.674710212005430066e+01
-2.356194490192344837e+00,-1.308996938995746984e+00,1.658035595279437402e+01
-2.181661564992912083e+00,-1.308996938995746984e+00,1.677855354968621526e+01
-2.007128639793479330e+00,-1.308996938995746984e+00,1.711713372307535508e+01
-1.832595714594046132e+00,-1.308996938995746984e+00,1.666057015518375550e+01
-1.658062789394612935e+00,-1.308996938995746984e+00,1.620069230608372379e+01
-1.483529864195180181e+00,-1.308996938995746984e+00,1.544464579907122470e+01
